date measurement;celsius;humidity;moisture
2020-09-06_05:37:31;25.9;50.3;719
2020-09-06_05:57:31;26.1;39.3;669
2020-09-06_06:17:32;25.5;54.3;669
2020-09-06_06:37:32;25.7;56.5;714
2020-09-06_06:57:32;25.9;64.3;674
2020-09-06_07:17:32;25.7;61.6;679
2020-09-06_07:37:33;26.0;63.4;673
2020-09-06_07:57:33;25.9;54.1;668
2020-09-06_08:17:33;25.8;62.9;678
2020-09-06_08:37:33;25.8;64.2;684
2020-09-06_08:57:33;25.6;54.8;672
2020-09-06_09:17:34;25.4;69.6;708
2020-09-06_09:37:34;25.6;70.2;715
2020-09-06_09:57:34;25.9;70.6;683
2020-09-06_10:17:34;25.8;46.5;700
2020-09-06_10:37:34;25.8;49.3;673
2020-09-06_10:57:34;25.9;47.4;678
2020-09-06_11:17:35;25.1;45.3;673
2020-09-06_11:37:35;24.7;46;706
2020-09-06_11:57:35;24.3;35.5;719
2020-09-06_12:17:35;25.1;51.1;677
2020-09-06_12:37:36;25.4;43.6;705
2020-09-06_12:57:36;25.5;53.7;716
2020-09-06_13:17:36;25.7;51.6;717
2020-09-06_13:37:36;25.8;52.4;680
2020-09-06_13:57:36;25.8;54.9;692
2020-09-06_14:17:37;25.9;48.6;713
2020-09-06_14:37:37;26.3;50.5;714
2020-09-06_14:57:37;26.4;49.6;705
2020-09-06_15:17:37;26.7;56.1;718
2020-09-06_15:37:37;26.7;43;678
2020-09-06_15:57:38;27.0;46;675
2020-09-06_16:17:38;27.0;53.3;675
2020-09-06_16:37:38;27.2;63;717
2020-09-06_16:57:38;27.2;52.2;678
2020-09-06_17:17:38;26.9;38.8;718
2020-09-06_17:37:39;27.5;50.7;715
2020-09-06_17:57:39;27.6;50.4;676
2020-09-06_18:17:39;28.1;42.1;710
2020-09-06_18:37:39;26.8;46.4;723
2020-09-06_18:57:39;27.7;48.3;676
2020-09-06_19:17:39;25.0;50.6;696
2020-09-06_19:37:40;25.5;50.7;716
2020-09-06_19:57:40;26.5;61.6;703
