date;temperature;humidity;moisture
2020-09-06_00:17:28;25.4;81.1;721
2020-09-06_00:37:28;26.0;87.4;711
2020-09-06_00:57:29;25.8;85.8;710
2020-09-06_01:17:29;26.2;78.6;711
2020-09-06_01:37:29;25.8;76.5;720
2020-09-06_01:57:29;25.8;79.7;710
2020-09-06_02:17:29;25.8;84.0;707
2020-09-06_02:37:30;26.4;83.5;703
2020-09-06_02:57:30;26.1;82.0;715
2020-09-06_03:17:30;26.5;82.9;718
2020-09-06_03:37:30;26.2;88.6;667
2020-09-06_03:57:30;26.3;84.8;668
2020-09-06_04:17:31;26.1;83.9;714
2020-09-06_04:37:31;25.9;81.3;718
2020-09-06_04:57:31;26.0;56.3;640
2020-09-06_05:17:31;26.1;70.9;717
2020-09-06_05:37:31;25.9;70.3;719
2020-09-06_05:57:31;26.1;59.3;669
2020-09-06_06:17:32;25.5;74.3;669
2020-09-06_06:37:32;25.7;76.5;714
2020-09-06_06:57:32;25.9;84.3;674
2020-09-06_07:17:32;25.7;81.6;679
2020-09-06_07:37:33;26.0;83.4;673
2020-09-06_07:57:33;25.9;74.1;668
2020-09-06_08:17:33;25.8;82.9;678
2020-09-06_08:37:33;25.8;84.2;684
2020-09-06_08:57:33;25.6;74.8;672
2020-09-06_09:17:34;25.4;89.6;708
2020-09-06_09:37:34;25.6;90.2;715
2020-09-06_09:57:34;25.9;90.6;683
2020-09-06_10:17:34;25.8;66.5;700
2020-09-06_10:37:34;25.8;69.3;673
2020-09-06_10:57:34;25.9;67.4;678
2020-09-06_11:17:35;25.1;65.3;673
2020-09-06_11:37:35;24.7;66.0;706
2020-09-06_11:57:35;24.3;55.5;719
2020-09-06_12:17:35;25.1;71.1;677
2020-09-06_12:37:36;25.4;63.6;705
2020-09-06_12:57:36;25.5;73.7;716
2020-09-06_13:17:36;25.7;71.6;717
2020-09-06_13:37:36;25.8;72.4;680
2020-09-06_13:57:36;25.8;74.9;692
2020-09-06_14:17:37;25.9;68.6;713
2020-09-06_14:37:37;26.3;70.5;714
2020-09-06_14:57:37;26.4;69.6;705
2020-09-06_15:17:37;26.7;76.1;718
2020-09-06_15:37:37;26.7;63.0;678
2020-09-06_15:57:38;27.0;66.0;675
2020-09-06_16:17:38;27.0;73.3;675
2020-09-06_16:37:38;27.2;83.0;717
2020-09-06_16:57:38;27.2;72.2;678
2020-09-06_17:17:38;26.9;58.8;718
2020-09-06_17:37:39;27.5;70.7;715
2020-09-06_17:57:39;27.6;70.4;676
2020-09-06_18:17:39;28.1;62.1;710
2020-09-06_18:37:39;26.8;66.4;723
2020-09-06_18:57:39;27.7;68.3;676
2020-09-06_19:17:39;25.0;70.6;696
2020-09-06_19:37:40;25.5;70.7;716
2020-09-06_19:57:40;26.5;81.6;703
2020-09-06_20:17:40;27.0;78.4;667
2020-09-06_20:37:40;26.9;87.4;672
2020-09-06_20:57:40;27.0;82.2;718
2020-09-06_21:17:41;26.6;86.5;713
2020-09-06_21:37:41;27.0;78.8;673
2020-09-06_21:57:41;26.9;82.3;716
2020-09-06_22:17:41;27.0;83.5;712
2020-09-06_22:37:41;27.2;77.5;702
2020-09-06_22:57:42;26.8;86.9;705
2020-09-06_23:17:42;27.0;74.4;702
2020-09-06_23:37:42;26.3;67.0;707
2020-09-06_23:57:42;27.3;66.0;718
2020-09-07_00:17:42;26.4;84.7;709
2020-09-07_00:37:43;26.5;59.9;695
2020-09-07_00:57:43;26.3;80.4;711
2020-09-07_01:17:43;26.3;65.8;716
2020-09-07_01:37:43;26.4;65.4;698
2020-09-07_01:57:43;25.7;80.1;674
2020-09-07_02:17:44;26.4;72.2;716
2020-09-07_02:37:44;24.8;70.2;715
2020-09-07_02:57:44;26.4;73.6;700
2020-09-07_03:17:44;26.3;83.6;713
2020-09-07_03:37:44;26.2;74.1;705
2020-09-07_03:57:45;26.1;83.5;683
2020-09-07_04:17:45;25.5;56.1;693
2020-09-07_04:37:45;26.9;76.4;696
2020-09-07_04:57:45;26.5;87.4;713
2020-09-07_05:17:45;26.3;63.7;716
2020-09-07_05:37:46;26.4;68.2;701
2020-09-07_05:57:46;26.3;68.6;701
2020-09-07_06:17:46;26.2;87.1;677
2020-09-07_06:37:46;26.2;73.1;714
2020-09-07_06:57:46;25.5;65.2;682
2020-09-07_07:17:47;26.2;69.4;676
2020-09-07_07:37:47;26.5;75.8;673
2020-09-07_07:57:47;26.2;69.0;697
2020-09-07_08:17:47;26.2;75.9;715
2020-09-07_08:37:47;26.3;78.3;711
2020-09-07_08:57:48;26.4;79.2;709
2020-09-07_09:17:48;26.4;65.5;682
2020-09-07_09:37:48;26.6;77.7;676
2020-09-07_09:57:48;26.4;77.3;681
2020-09-07_10:17:48;26.6;78.0;676
2020-09-07_10:37:49;26.8;74.1;693
2020-09-07_10:57:49;26.7;82.6;712
2020-09-07_11:17:49;26.6;69.2;698
2020-09-07_11:37:49;26.7;61.5;689
2020-09-07_11:57:49;27.2;72.0;677
2020-09-07_12:17:50;26.8;74.3;702
2020-09-07_12:37:50;27.4;74.0;672
2020-09-07_12:57:50;26.8;87.7;687
2020-09-07_13:17:50;26.7;80.0;680
2020-09-07_13:37:50;27.0;78.0;710
2020-09-07_13:57:51;26.9;78.4;678
2020-09-07_14:17:51;26.9;78.1;682
2020-09-07_14:37:51;27.1;76.8;683
2020-09-07_14:57:51;27.1;74.5;670
2020-09-07_15:17:51;27.3;83.1;722
2020-09-07_15:37:52;27.6;78.7;693
2020-09-07_15:57:52;27.6;80.4;697
2020-09-07_16:17:52;27.7;76.8;673
2020-09-07_16:37:52;27.6;68.9;708
2020-09-07_16:57:52;27.2;69.8;690
2020-09-07_17:17:53;27.7;75.3;718
2020-09-07_17:37:53;27.8;62.4;700
2020-09-07_17:57:53;27.9;61.6;643
2020-09-07_18:17:53;27.7;58.2;672
2020-09-07_18:37:53;28.0;63.1;680
2020-09-07_18:57:54;28.1;63.9;712
2020-09-07_19:17:54;27.3;59.6;711
2020-09-07_19:37:54;27.4;57.8;716
2020-09-07_19:57:54;27.0;59.3;711
2020-09-07_20:17:54;27.8;58.3;704
2020-09-07_20:37:55;26.7;58.0;684
2020-09-07_20:57:55;26.5;58.5;693
2020-09-07_21:17:55;26.3;57.7;712
2020-09-07_21:37:55;26.3;54.8;707
2020-09-07_21:57:55;26.1;68.0;704
2020-09-07_22:17:56;25.9;73.7;672
2020-09-07_22:37:56;26.0;77.5;681
2020-09-07_22:57:56;26.1;85.7;688
2020-09-07_23:17:56;26.3;74.3;707
2020-09-07_23:37:56;26.4;62.9;682
2020-09-07_23:57:57;26.2;69.9;680
2020-09-08_00:17:57;26.3;77.7;676
2020-09-08_00:37:57;25.9;74.2;675
2020-09-08_00:57:57;25.7;73.6;683
2020-09-08_01:17:57;26.2;73.5;713
2020-09-08_01:37:58;26.1;71.3;680
2020-09-08_01:57:58;26.3;75.4;681
2020-09-08_02:17:58;25.9;59.4;677
2020-09-08_02:37:58;26.2;70.7;719
2020-09-08_02:57:58;25.2;74.1;682
2020-09-08_03:17:59;25.8;72.4;676
2020-09-08_03:37:59;26.1;74.0;714
2020-09-08_03:57:59;25.5;75.9;715
2020-09-08_04:17:59;25.9;73.1;701
2020-09-08_04:37:59;25.8;75.1;675
2020-09-08_04:57:59;25.2;73.4;713
2020-09-08_05:18:00;25.6;78.0;711
2020-09-08_05:38:00;25.6;77.7;685
2020-09-08_05:58:00;26.1;73.1;698
2020-09-08_06:18:00;25.5;69.4;713
2020-09-08_06:38:01;25.6;77.2;712
2020-09-08_06:58:01;26.3;74.0;713
2020-09-08_07:18:01;26.0;82.3;681
2020-09-08_07:38:01;25.6;72.0;714
2020-09-08_07:58:01;25.5;73.2;683
2020-09-08_08:18:02;25.4;73.9;700
2020-09-08_08:38:02;25.8;68.4;688
2020-09-08_08:58:02;26.0;71.0;671
2020-09-08_09:18:02;24.7;71.0;671
2020-09-08_09:38:02;26.1;68.9;698
2020-09-08_09:58:03;25.8;63.8;718
2020-09-08_10:18:03;25.8;67.6;711
2020-09-08_10:38:03;25.9;67.9;675
2020-09-08_10:58:03;28.3;64.7;709
2020-09-08_11:18:03;26.0;76.6;679
